Model,DPO2012B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.01,0.1
Label,,
TIME,CH1,CH2
-1.98723e-02,0.0517922,0.32375
-1.98720e-02,0.0516156,0.321969
-1.98717e-02,0.0515187,0.325656
-1.98714e-02,0.0517047,0.321203
-1.98710e-02,0.0513469,0.322313
-1.98707e-02,0.0515312,0.324203
-1.98704e-02,0.0515094,0.320859
-1.98701e-02,0.0520234,0.326156
-1.98698e-02,0.0512437,0.323922
-1.98694e-02,0.0517359,0.324969
-1.98691e-02,0.0516531,0.324406
-1.98688e-02,0.0513328,0.324797
-1.98685e-02,0.0518812,0.325078
-1.98682e-02,0.0515,0.325641
-1.98678e-02,0.0518406,0.325703
-1.98675e-02,0.0513531,0.324109
-1.98672e-02,0.0517203,0.325938
-1.98669e-02,0.0515484,0.327625
-1.98666e-02,0.0516766,0.32325
-1.98662e-02,0.0513609,0.327641
-1.98659e-02,0.0518453,0.324844
-1.98656e-02,0.0515031,0.322922
-1.98653e-02,0.0519547,0.327328
-1.98650e-02,0.0517609,0.325156
-1.98646e-02,0.0517969,0.326109
-1.98643e-02,0.0519172,0.325031
-1.98640e-02,0.0516344,0.322578
-1.98637e-02,0.0518828,0.324266
-1.98634e-02,0.0520391,0.327484
-1.98630e-02,0.0516812,0.325625
-1.98627e-02,0.0514844,0.324625
-1.98624e-02,0.0519062,0.327938
-1.98621e-02,0.0516297,0.322547
-1.98618e-02,0.0522047,0.328406
-1.98614e-02,0.051125,0.324313
-1.98611e-02,0.0515141,0.322406
-1.98608e-02,0.0515891,0.325453
-1.98605e-02,0.0514156,0.321813
-1.98602e-02,0.0514125,0.323375
-1.98598e-02,0.0518766,0.321391
-1.98595e-02,0.0516,0.323875
-1.98592e-02,0.0516437,0.320203
-1.98589e-02,0.0514281,0.324641
-1.98586e-02,0.0515609,0.322609
-1.98582e-02,0.0517437,0.322016
-1.98579e-02,0.0515703,0.323734
-1.98576e-02,0.0514109,0.322266
-1.98573e-02,0.0519266,0.324328
-1.98570e-02,0.0524656,0.325266
-1.98566e-02,0.0518359,0.317328
-1.98563e-02,0.0513016,0.325109
-1.98560e-02,0.0518516,0.324922
-1.98557e-02,0.0515437,0.321234
-1.98554e-02,0.0512953,0.323016
-1.98550e-02,0.0512031,0.322375
-1.98547e-02,0.0512672,0.323625
-1.98544e-02,0.0515906,0.325344
-1.98541e-02,0.0518219,0.325109
-1.98538e-02,0.0513828,0.321047
-1.98534e-02,0.0514781,0.326172
-1.98531e-02,0.0515156,0.324781
-1.98528e-02,0.0516844,0.325094
-1.98525e-02,0.0512797,0.328906
-1.98522e-02,0.0510781,0.323484
-1.98518e-02,0.0515812,0.327891
-1.98515e-02,0.0512266,0.323625
-1.98512e-02,0.0515562,0.326688
-1.98509e-02,0.0517453,0.323563
-1.98506e-02,0.0512344,0.330094
-1.98502e-02,0.0513078,0.323109
-1.98499e-02,0.0513297,0.325641
-1.98496e-02,0.0515391,0.32875
-1.98493e-02,0.0518594,0.323063
-1.98490e-02,0.0515594,0.327141
-1.98486e-02,0.05145,0.328969
-1.98483e-02,0.0517453,0.324313
-1.98480e-02,0.051525,0.325906
-1.98477e-02,0.0513641,0.325625
-1.98474e-02,0.0514625,0.324469
-1.98470e-02,0.0517016,0.323859
-1.98467e-02,0.0512625,0.324891
-1.98464e-02,0.0520094,0.324547
-1.98461e-02,0.0511547,0.323953
-1.98458e-02,0.0514328,0.323875
-1.98454e-02,0.0515031,0.322
