Data run started at:  Thursday, October 19, 2017	3:30:23 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
11.123228	0.268034	0.767845	287.316000
11.148441	0.249468	0.768453	287.816000
11.169303	0.232198	0.769011	288.317000
11.188121	0.216552	0.769549	288.816000
11.209637	0.202867	0.770038	289.316000
11.228569	0.191418	0.770251	289.816000
11.249764	0.182276	0.770337	290.316000
11.269901	0.175278	0.770496	290.816000
11.289513	0.171260	0.770709	291.316000
11.309690	0.170377	0.770918	291.817000
11.331388	0.172302	0.770938	292.316000
11.355813	0.176747	0.770830	292.817000
11.371423	0.183120	0.770778	293.316000
11.391603	0.191841	0.770813	293.816000
11.411425	0.203015	0.770757	294.316000
11.431174	0.215967	0.770622	294.816000
11.452789	0.230908	0.770440	295.316000
11.472341	0.247971	0.770260	295.816000
11.493755	0.267241	0.770150	296.316000
11.514457	0.288303	0.770217	296.816000
11.534819	0.311505	0.770231	297.316000
11.552500	0.336920	0.770301	297.816000
11.573381	0.363956	0.770518	298.317000
11.594250	0.392603	0.770816	298.816000
11.614030	0.422809	0.771270	299.316000
11.634303	0.454526	0.771739	299.816000
11.654105	0.487644	0.772268	300.316000
11.673093	0.521483	0.772689	300.816000
11.694629	0.556037	0.773320	301.316000
11.714683	0.591000	0.773918	301.816000
11.734896	0.626146	0.774631	302.316000
11.755137	0.660958	0.775465	302.817000
11.774460	0.695531	0.776262	303.316000
11.793982	0.729987	0.777032	303.817000
11.814591	0.763739	0.777873	304.316000
11.836509	0.796493	0.778920	304.816000
11.855596	0.828699	0.779867	305.316000
11.876551	0.860067	0.780766	305.816000
11.896096	0.891069	0.781903	306.317000
11.917592	0.921495	0.782995	306.816000
11.938899	0.951174	0.784201	307.317000
11.958362	0.979852	0.785646	307.816000
11.978402	1.007596	0.787079	308.316000
11.998163	1.034348	0.788312	308.816000
12.019539	1.060133	0.789554	309.316000
12.039004	1.085316	0.790898	309.816000
12.059675	1.109517	0.792200	310.316000
12.079548	1.133058	0.793533	310.816000
12.101471	1.156190	0.794832	311.316000
12.120531	1.178044	0.796061	311.816000
12.141614	1.198880	0.797351	312.316000
12.161294	1.219249	0.798674	312.816000
12.182064	1.238983	0.800081	313.316000
12.203852	1.257987	0.801434	313.817000
12.224350	1.275883	0.802712	314.316000
12.244195	1.293089	0.803959	314.816000
12.263457	1.309827	0.805338	315.316000
12.284578	1.325790	0.806747	315.816000
12.305428	1.341151	0.808142	316.316000
12.326530	1.356123	0.809641	316.816000
12.346127	1.370270	0.811117	317.316000
12.366227	1.384029	0.812662	317.816000
12.385091	1.396900	0.814164	318.317000
12.405190	1.408848	0.815541	318.816000
12.425922	1.420268	0.816978	319.316000
12.446107	1.431142	0.818410	319.816000
12.467083	1.441415	0.819839	320.316000
12.487451	1.451577	0.821332	320.816000
12.508683	1.461137	0.822868	321.317000
12.528989	1.469905	0.824395	321.816000
12.547128	1.478101	0.825944	322.316000
12.566123	1.485746	0.827290	322.817000
12.586234	1.492732	0.828656	323.316000
12.608738	1.499198	0.830108	323.816000
12.629518	1.505525	0.831667	324.316000
12.649600	1.511419	0.833168	324.816000
12.670501	1.516978	0.834667	325.316000
12.691459	1.522206	0.836236	325.816000
12.711295	1.527354	0.837788	326.316000
12.731198	1.531680	0.839347	326.816000
12.749754	1.535884	0.840841	327.316000
12.769732	1.539667	0.842200	327.816000
12.790951	1.543142	0.843454	328.317000
12.812247	1.545964	0.844718	328.816000
12.833651	1.548466	0.846022	329.316000
12.853057	1.550707	0.847378	329.816000
12.873372	1.552263	0.848861	330.316000
12.893536	1.553735	0.850531	330.816000
12.914639	1.554774	0.852053	331.316000
12.934772	1.555624	0.853474	331.817000
12.955993	1.555975	0.854914	332.316000
12.976501	1.555862	0.856335	332.816000
12.996932	1.555653	0.857721	333.316000
13.016973	1.555676	0.859183	333.816000
13.036767	1.555234	0.860646	334.316000
13.059700	1.554498	0.862137	334.816000
13.080656	1.553230	0.863658	335.316000
13.102094	1.551464	0.865200	335.816000
13.122675	1.549473	0.866783	336.316000
13.141595	1.547176	0.868385	336.816000
13.162222	1.544591	0.870003	337.316000
13.181918	1.541729	0.871663	337.816000
13.201986	1.538807	0.873308	338.317000
13.222339	1.535542	0.874895	338.816000
13.242662	1.532085	0.876561	339.316000
13.263715	1.528260	0.878379	339.816000
13.285969	1.523814	0.880218	340.316000
13.306324	1.518881	0.881847	340.816000
13.326810	1.513505	0.883288	341.316000
13.346701	1.507673	0.884583	341.816000
13.366791	1.501315	0.886046	342.316000
13.387617	1.495160	0.887813	342.816000
13.408522	1.488862	0.889656	343.316000
13.428524	1.481810	0.891476	343.816000
13.447817	1.474068	0.893200	344.316000
13.468462	1.465779	0.894944	344.816000
13.490031	1.457190	0.896606	345.316000
13.511030	1.448135	0.898437	345.817000
13.531054	1.438788	0.900257	346.316000
13.552518	1.428761	0.902101	346.816000
13.574128	1.417752	0.903914	347.317000
13.595232	1.406526	0.905901	347.816000
13.614597	1.395231	0.907967	348.317000
13.635820	1.383603	0.909919	348.816000
13.656683	1.371029	0.911865	349.316000
13.677835	1.358116	0.913757	349.816000
13.698265	1.344287	0.915601	350.316000
13.717997	1.329600	0.917595	350.816000
13.738679	1.314624	0.919598	351.317000
13.758431	1.299505	0.921539	351.816000
13.780182	1.284405	0.923564	352.316000
13.800710	1.269029	0.925666	352.816000
13.821222	1.253358	0.927798	353.316000
13.841350	1.237106	0.929871	353.816000
13.862480	1.220479	0.931936	354.316000
13.884336	1.203618	0.934074	354.816000
13.904615	1.186451	0.936302	355.316000
13.924620	1.168806	0.938493	355.817000
13.944662	1.150873	0.940536	356.316000
