Data run started at:  Tuesday, October 10, 2017	4:39:42 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
9.248670	0.642163	0.214893	223.737000
9.269753	0.642390	0.215514	224.236000
9.291300	0.642750	0.216218	224.736000
9.313910	0.644463	0.216666	225.237000
9.337478	0.647255	0.217001	225.736000
9.361189	0.651709	0.217403	226.236000
9.382982	0.658464	0.218014	226.736000
9.404237	0.666417	0.218566	227.236000
9.426391	0.674566	0.218962	227.736000
9.450181	0.683030	0.219192	228.236000
9.473870	0.692564	0.219490	228.737000
9.496194	0.704232	0.219855	229.236000
9.517369	0.717330	0.220309	229.737000
9.539292	0.730955	0.220611	230.236000
9.558696	0.744869	0.220722	230.736000
9.581092	0.758872	0.221023	231.236000
9.603839	0.773732	0.221491	231.736000
9.626668	0.789629	0.221959	232.236000
9.648469	0.805216	0.222309	232.736000
9.670352	0.821404	0.222938	233.236000
9.691000	0.837340	0.223757	233.736000
9.713791	0.852409	0.224349	234.236000
9.736520	0.866880	0.224561	234.736000
9.759235	0.881994	0.224991	235.236000
9.780829	0.897595	0.225247	235.736000
9.802746	0.913636	0.225470	236.236000
9.824656	0.929616	0.225929	236.736000
9.847687	0.944782	0.226488	237.236000
9.871856	0.958614	0.227090	237.736000
9.893796	0.971199	0.227743	238.236000
9.915958	0.983452	0.228537	238.736000
9.938565	0.995673	0.228847	239.236000
9.963173	1.007897	0.229525	239.736000
9.985826	1.020293	0.230048	240.236000
10.006951	1.031077	0.230640	240.736000
10.026746	1.041263	0.231479	241.236000
10.050124	1.049863	0.231795	241.736000
10.070721	1.058120	0.232422	242.236000
10.092861	1.066520	0.232977	242.736000
10.116473	1.074149	0.233481	243.236000
10.138297	1.081079	0.233816	243.736000
10.160992	1.087679	0.234448	244.237000
10.182110	1.093065	0.234950	244.736000
10.204317	1.097546	0.235594	245.236000
10.226315	1.101006	0.236380	245.736000
10.246708	1.104167	0.236586	246.236000
10.271032	1.107487	0.236892	246.736000
10.292408	1.110366	0.237210	247.236000
10.313509	1.111611	0.237874	247.736000
10.335254	1.111597	0.238623	248.237000
10.358376	1.111338	0.239222	248.736000
10.383032	1.111491	0.239699	249.236000
10.404737	1.111182	0.240300	249.736000
10.426312	1.110061	0.240907	250.236000
10.447155	1.107644	0.241519	250.737000
10.467471	1.104111	0.242014	251.236000
10.490556	1.100695	0.242205	251.736000
10.512493	1.097432	0.242766	252.236000
10.534762	1.093706	0.243490	252.736000
10.559094	1.089217	0.244397	253.236000
10.579883	1.083794	0.245062	253.736000
10.600836	1.078080	0.245526	254.236000
10.622699	1.071600	0.245726	254.736000
10.645329	1.064974	0.246185	255.236000
10.667267	1.058903	0.246826	255.736000
10.687679	1.052828	0.247210	256.237000
10.709013	1.045632	0.247793	256.736000
10.730956	1.037635	0.248417	257.236000
10.752659	1.028530	0.249181	257.736000
10.774135	1.019860	0.250029	258.237000
