Data run started at:  Tuesday, October 17, 2017	3:14:31 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
6.226400	0.397566	0.409652	167.601000
6.244507	0.398329	0.411559	168.101000
6.264698	0.398503	0.413337	168.601000
6.283407	0.398787	0.414927	169.101000
6.300247	0.398098	0.416580	169.601000
6.319998	0.395104	0.418335	170.101000
6.341788	0.390858	0.420011	170.601000
6.362769	0.386442	0.421692	171.102000
6.379050	0.380885	0.423365	171.601000
6.397515	0.374780	0.424924	172.101000
6.416582	0.368457	0.426375	172.601000
6.437032	0.361574	0.427613	173.101000
6.462966	0.353567	0.429132	173.601000
6.480231	0.344861	0.430760	174.101000
6.498190	0.335046	0.432173	174.601000
6.516429	0.324389	0.433566	175.102000
6.535300	0.314220	0.434900	175.601000
6.556424	0.304782	0.436039	176.101000
6.576745	0.296078	0.437056	176.601000
6.595099	0.288347	0.438186	177.101000
6.614659	0.281133	0.439313	177.601000
6.635643	0.274672	0.440380	178.101000
6.655262	0.270740	0.441227	178.601000
6.677014	0.269151	0.442090	179.101000
6.697842	0.268997	0.443091	179.601000
6.719339	0.270691	0.443943	180.101000
6.738535	0.274832	0.444808	180.601000
6.760336	0.281097	0.445622	181.101000
6.781027	0.288567	0.446633	181.601000
6.801691	0.297157	0.447581	182.101000
6.822970	0.307885	0.448482	182.601000
6.843437	0.320817	0.449404	183.101000
6.865597	0.335057	0.450379	183.601000
6.885474	0.349084	0.451556	184.101000
6.907352	0.362776	0.452573	184.601000
6.928867	0.377025	0.453640	185.102000
6.949923	0.390197	0.455022	185.601000
6.970761	0.402682	0.456483	186.101000
6.991318	0.414796	0.457886	186.601000
7.012713	0.426468	0.459443	187.101000
7.032951	0.436500	0.460833	187.601000
7.055184	0.445153	0.462285	188.101000
7.076538	0.452499	0.463771	188.601000
7.096585	0.458960	0.465192	189.101000
7.117160	0.464390	0.466447	189.601000
7.137421	0.468363	0.467660	190.101000
7.158319	0.470463	0.469056	190.601000
7.177780	0.471442	0.470614	191.101000
7.196642	0.471833	0.472371	191.601000
7.216206	0.471929	0.474057	192.101000
7.236595	0.471594	0.475776	192.601000
7.257312	0.470529	0.477615	193.101000
7.276913	0.467702	0.479415	193.601000
7.296759	0.463153	0.481103	194.101000
7.317203	0.457463	0.482850	194.601000
7.337793	0.451139	0.484526	195.102000
7.357583	0.445001	0.486204	195.601000
7.377502	0.438540	0.487870	196.101000
7.397799	0.431666	0.489556	196.601000
7.419241	0.423460	0.491179	197.102000
7.440250	0.414371	0.492785	197.601000
7.460699	0.404507	0.494425	198.101000
7.480050	0.394425	0.496222	198.602000
7.500857	0.383759	0.498166	199.101000
7.521405	0.372570	0.499836	199.601000
7.541617	0.362138	0.501439	200.101000
7.562369	0.351750	0.502985	200.601000
7.582445	0.340570	0.504475	201.101000
7.602871	0.329200	0.505996	201.601000
7.625254	0.317397	0.507427	202.101000
7.646483	0.305146	0.508882	202.601000
7.666275	0.294049	0.510222	203.101000
7.686303	0.283535	0.511386	203.601000
7.707721	0.274406	0.512293	204.101000
7.729190	0.266597	0.513000	204.601000
7.748953	0.260607	0.513615	205.101000
7.768881	0.256798	0.514305	205.601000
7.789383	0.255247	0.515057	206.101000
7.810197	0.256354	0.515839	206.601000
7.830184	0.260250	0.516534	207.102000
7.851336	0.266333	0.517194	207.601000
7.871794	0.274330	0.517713	208.101000
7.891760	0.283876	0.518209	208.601000
7.913693	0.296546	0.518845	209.101000
7.933615	0.311068	0.519747	209.601000
7.954132	0.326763	0.520849	210.101000
7.974508	0.343957	0.522018	210.602000
7.995263	0.362215	0.523118	211.101000
8.016139	0.381043	0.524017	211.601000
8.036989	0.399329	0.524886	212.101000
8.056741	0.418355	0.525702	212.601000
8.077045	0.437234	0.526720	213.101000
8.097528	0.455509	0.527866	213.601000
8.118756	0.472898	0.529183	214.101000
8.139127	0.489583	0.530673	214.601000
8.159088	0.505219	0.532123	215.101000
8.179486	0.519700	0.533639	215.601000
8.200397	0.533878	0.534953	216.101000
8.220971	0.546777	0.536207	216.601000
8.240542	0.558505	0.537518	217.101000
8.260736	0.569049	0.538846	217.601000
8.281731	0.578950	0.540130	218.101000
8.303625	0.587773	0.541416	218.601000
8.323804	0.595307	0.542702	219.101000
8.345309	0.601577	0.543958	219.601000
8.365353	0.607102	0.545441	220.101000
8.385556	0.612168	0.547039	220.601000
8.407477	0.615764	0.548683	221.101000
8.428263	0.617841	0.550266	221.601000
8.448422	0.618683	0.551732	222.101000
8.469119	0.618846	0.553267	222.601000
8.489120	0.618163	0.554808	223.101000
8.510965	0.616055	0.556448	223.601000
8.531287	0.613686	0.558071	224.101000
8.551483	0.610592	0.559704	224.601000
8.570926	0.605876	0.561195	225.101000
8.591086	0.600765	0.562738	225.601000
8.612493	0.596038	0.564702	226.101000
8.633084	0.590687	0.566766	226.601000
8.653520	0.584346	0.568739	227.101000
